GEOID,pop_dens,pct_SingleUnit,pct_NaturalResources,NatWalkInd,PM25,pop_dens_t,pct_SingleUnit_t,pct_NaturalResources_t,NatWalkInd_t,PM25_t,UR_Scale,UR_Cat
53005010811,220.4428,0.9888752,0.02816309,3.94,10.81113673,0.506192431,0.9888752,0.02816309,0.200305033,0.649940809,0.358412183,0
53005010814,56.19242,0.9738255,0.03566824,3.11,10.74387373,0.377960641,0.9738255,0.03566824,0.158108795,0.645897111,0.307100866,0
53005010815,488.6545,0.8362041,0.01765376,10.59,14.67085519,0.580870901,0.8362041,0.01765376,0.538383325,0.881978254,0.548575652,2
53005010816,1336.741,0.6489493,0.02116817,13.88,14.68805464,0.675280256,0.6489493,0.02116817,0.705643111,0.883012246,0.681668331,2
53005010817,1188.494,0.771122,0.005751258,12.15,14.59007377,0.664252514,0.771122,0.005751258,0.617691917,0.87712186,0.619107425,2
53005010818,451.0031,0.6489607,0.001256281,12.38,14.54389344,0.573348666,0.6489607,0.001256281,0.62938485,0.874345604,0.626485253,2
53005010819,544.968,1,0,11.64,14.61668579,0.591103445,1,0,0.591764108,0.878721713,0.530423715,2
53005010820,687.8108,0.4563925,0.02329114,14.84,14.70283333,0.612942359,0.4563925,0.02329114,0.754448399,0.883900707,0.727662658,2
53005010901,934.3351,0.4660233,0.01604278,12.6,11.07376634,0.641679932,0.4660233,0.01604278,0.640569395,0.6657295,0.684967289,2
53005010902,1783.77,0.5887809,0.08844296,13.99,11.07488243,0.702345405,0.5887809,0.08844296,0.711235384,0.665796597,0.686908403,2
53005011001,1326.661,0.5028446,0.03410138,8.23,11.13769754,0.674570141,0.5028446,0.03410138,0.41840366,0.669572898,0.608152805,2
53005011002,1654.04,0.4657857,0,13.22,11.10214368,0.695261583,0.4657857,0,0.672089476,0.667435481,0.714493797,2
53005011100,1548.256,0.8172848,0.02366227,13.69,11.10892233,0.689061187,0.8172848,0.02366227,0.695983732,0.667842998,0.628287451,2
53005011201,2950.027,0.3533611,0.03712297,13.61,14.6702623,0.749542403,0.3533611,0.03712297,0.691916624,0.88194261,0.772852584,2
53005011202,3148.368,0.2246279,0,12.77,14.69576503,0.755646944,0.2246279,0,0.649211998,0.883475776,0.797945524,2
53005011300,955.8315,0.7604726,0.07604396,14.68,11.16116497,0.643813897,0.7604726,0.07604396,0.746314184,0.670983706,0.639046275,2
53005011401,1641.955,0.725448,0.07305936,12.74,11.1235601,0.69457362,0.725448,0.07305936,0.647686833,0.668722987,0.630413073,2
53005011402,780.1176,0.9491525,0.04,6.05,11.08389256,0.624756579,0.9491525,0.04,0.307574987,0.666338266,0.440823496,1
53005011501,125.1383,0.9663899,0.03896984,4,10.8723538,0.453072556,0.9663899,0.03896984,0.203355363,0.65362104,0.347513408,0
53005011504,200.539,0.9851852,0.01008403,5.43,10.99815282,0.497314753,0.9851852,0.01008403,0.276054906,0.661183789,0.385311949,1
53005011505,1038.844,0.787309,0.04339378,13.35,14.67948634,0.651627025,0.787309,0.04339378,0.678698526,0.882497139,0.627095064,2
53005011506,88.78256,0.9777778,0.02713537,6.35,14.45620219,0.42087246,0.9777778,0.02713537,0.32282664,0.869073806,0.388088564,1
53005011600,0.6312227,0.888,0.3743961,2.33,10.45677493,-0.043164011,0.888,0.3743961,0.118454499,0.628637389,0.139538794,0
53005011701,190.4827,0.7802734,0.0943756,7.67,13.27072404,0.492488212,0.7802734,0.0943756,0.38993391,0.797805572,0.470503091,1
53005011702,257.4611,0.7194379,0.1157787,8.14,13.3250765,0.520755388,0.7194379,0.1157787,0.413828165,0.801073118,0.500128987,1
53005011801,8.769922,0.9916805,0.2002308,2.19,13.6972459,0.203703381,0.9916805,0.2002308,0.111337062,0.82344709,0.220334664,0
53005011802,6.424822,0.8806818,0.2673484,1.59,13.1789153,0.174511965,0.8806818,0.2673484,0.080833757,0.79228624,0.21862208,0
53005011900,36.22746,0.8884462,0.1971947,3.74,10.0480133,0.336779137,0.8884462,0.1971947,0.190137265,0.604063574,0.303321837,0
53007960100,0.7006476,0.895877,0.1060143,4.19,6.214230651,-0.033374749,0.895877,0.1060143,0.213014743,0.373585331,0.194917258,0
53007960201,10.94986,0.7173116,0.01482544,6.6,7.031147541,0.224530221,0.7173116,0.01482544,0.33553635,0.422696506,0.376188793,1
53007960202,6.880476,0.9787478,0.03013393,5.85,7.856702186,0.180940074,0.9787478,0.03013393,0.297407219,0.472326963,0.283942013,0
53007960203,0.4969186,0.9759414,0.05349794,5.83,6.999306011,-0.065607636,0.9759414,0.05349794,0.296390442,0.420782266,0.202370451,0
53007960301,6.108691,0.7039413,0.125,4.82,8.923363388,0.16977839,0.7039413,0.125,0.245043213,0.536452194,0.323293064,0
53007960302,17.19024,0.9146238,0.27051,4.98,10.15084426,0.266842256,0.9146238,0.27051,0.253177428,0.610245537,0.287072053,0
53007960303,219.7377,0.6098535,0,9.02,9.908106557,0.505891877,0.6098535,0,0.458566345,0.595652701,0.54316787,2
53007960400,26.50697,0.8924818,0.2523148,5.63,7.635650153,0.307470387,0.8924818,0.2523148,0.286222674,0.45903782,0.310958336,0
53007960501,12.4086,0.9696473,0.1629914,3.91,8.397546448,0.236263031,0.9696473,0.1629914,0.198779868,0.504841283,0.253930329,0
53007960502,9.194547,0.9475941,0.08723693,3.17,7.761628415,0.208139211,0.9475941,0.08723693,0.161159126,0.466611345,0.24612404,0
53007960600,419.5996,0.7968021,0.1495965,8.17,7.386012512,0.56657772,0.7968021,0.1495965,0.41535333,0.444030176,0.471963095,1
53007960700,28.78655,0.9911839,0.02816901,3.79,7.71327832,0.315210185,0.9911839,0.02816901,0.192679207,0.463704648,0.286503757,0
53007960801,113.5066,0.9134126,0.02192639,9.99,7.659688478,0.44392009,0.9134126,0.02192639,0.50788002,0.460482949,0.453675934,1
53007960803,2130.886,0.3767949,0.08941878,14.8,9.267789617,0.719026554,0.3767949,0.08941878,0.752414845,0.557158311,0.754069069,2
53007960804,764.1106,0.6181924,0.1058524,14.43,9.234125683,0.622811591,0.6181924,0.1058524,0.733604474,0.555134513,0.654364983,2
53007961001,3120.14,0.6208749,0.09475119,15.96,9.249185792,0.754802012,0.6208749,0.09475119,0.8113879,0.556039892,0.72237292,2
53007961002,1515.654,0.4675643,0.1113128,17.46,9.290907104,0.687064604,0.4675643,0.1113128,0.887646162,0.558548082,0.764219911,2
53007961101,2796.999,0.718541,0.1978667,14.07,9.265008197,0.744545129,0.718541,0.1978667,0.715302491,0.556991099,0.648144819,2
53007961102,1221.175,0.8501484,0.125,12.18,9.213177596,0.666797394,0.8501484,0.125,0.619217082,0.553875161,0.567588806,2
53007961200,14.44833,0.9064497,0.2721488,4.37,7.723326349,0.250540665,0.9064497,0.2721488,0.222165735,0.464308713,0.265726432,0
